epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n
200,-3.7662477847361564,-3.7662477847361564,0.05967960147952071,-3.8403379176722714,-3.6921576518000414,5,-2.7049749716877938,-2.7049749716877938,0.0451383619319404,-2.7610126655253366,-2.648937277850251,5,0.01541125398085757,0.01541125398085757,0.0016849698113288213,0.013319423033267674,0.017503084928447467,5,0.024717793583626142,0.024717793583626142,0.004064627922954521,0.019671700518629952,0.029763886648622333,5
205,-3.78022315202713,-3.78022315202713,0.03778624727195577,-3.8271334532712964,-3.7333128507829634,5,-2.6753090750217434,-2.6753090750217434,0.05470233564778857,-2.7432201069251887,-2.607398043118298,5,0.0153816722935574,0.0153816722935574,0.0021063273192506744,0.012766740772209935,0.017996603814904862,5,0.025125621956671416,0.025125621956671416,0.004788834756185827,0.019180451498107796,0.031070792415235037,5
210,-3.8149507972383505,-3.8149507972383505,0.03972232152214213,-3.864264666787505,-3.765636927689196,5,-2.680824450111389,-2.680824450111389,0.04088731617408468,-2.731584619677508,-2.6300642805452696,5,0.015303588557230092,0.015303588557230092,0.0018870156767608727,0.012960924751210502,0.01764625236324968,5,0.024989270604273566,0.024989270604273566,0.004204537582521127,0.019769484602003094,0.03020905660654404,5
215,-3.822628700268269,-3.822628700268269,0.0621260223512991,-3.8997559789478915,-3.7455014215886466,5,-2.6545864493131637,-2.6545864493131637,0.05833724342157778,-2.727010091781929,-2.5821628068443983,5,0.015396112785127883,0.015396112785127883,0.001928234649111235,0.013002277070026824,0.01778994850022894,5,0.02662232432563864,0.02662232432563864,0.006733655346215418,0.018262727287808533,0.03498192136346875,5
220,-3.8769152200698853,-3.8769152200698853,0.04871876342897575,-3.9373978568410877,-3.816432583298683,5,-2.6424969336509703,-2.6424969336509703,0.06173149929303675,-2.7191344257853016,-2.565859441516639,5,0.015224541864502162,0.015224541864502162,0.0018156501499336161,0.012970475858042306,0.017478607870962018,5,0.025076823221538397,0.025076823221538397,0.004591363420869898,0.01937680650264326,0.030776839940433533,5
225,-3.858523587749004,-3.858523587749004,0.06716604838649361,-3.9419078820535915,-3.7751392934444166,5,-2.665689887571335,-2.665689887571335,0.03731041115878192,-2.712009454963283,-2.619370320179387,5,0.015150398051097413,0.015150398051097413,0.002208172475212356,0.012409029339201858,0.01789176676299297,5,0.02484100243024711,0.02484100243024711,0.004295258839967913,0.019508589167443233,0.030173415693050987,5
230,-3.898479777896404,-3.898479777896404,0.05775957907964456,-3.970186270336931,-3.8267732854558774,5,-2.668475271499157,-2.668475271499157,0.052749327084546827,-2.7339617117416544,-2.6029888312566594,5,0.015067234668564092,0.015067234668564092,0.0018311216499730131,0.012793961337218974,0.01734050799990921,5,0.024537895401118316,0.024537895401118316,0.004014708983068077,0.019553774949888417,0.029522015852348215,5
235,-3.9397733459544177,-3.9397733459544177,0.03296865118500029,-3.9807027705562104,-3.898843921352625,5,-2.6199235514044763,-2.6199235514044763,0.05607134274457247,-2.689534157622707,-2.5503129451862456,5,0.015185022649546995,0.015185022649546995,0.001896568477140442,0.01283049937676677,0.01753954592232722,5,0.024814641850002074,0.024814641850002074,0.004386013407363665,0.01936955997353096,0.03025972372647319,5
240,-3.953601747000218,-3.953601747000218,0.03699866700510391,-3.9995342949547794,-3.9076691990456567,5,-2.6339878078699117,-2.6339878078699117,0.05821332369156948,-2.70625760833836,-2.5617180074014634,5,0.026796591788412965,0.026796591788412965,0.027566827181528357,-0.007426657695034328,0.06101984127186026,5,0.024923881899783187,0.024923881899783187,0.004479764615553505,0.019362411185157878,0.030485352614408497,5
245,-3.982931608190536,-3.982931608190536,0.053074112206817015,-4.048821257775725,-3.917041958605347,5,-2.6432898268222806,-2.6432898268222806,0.04061560933816754,-2.69371268187735,-2.5928669717672115,5,0.014924985965309409,0.014924985965309409,0.0018382386850082453,0.012642877084483415,0.017207094846135404,5,0.02516815085470419,0.02516815085470419,0.004723494958847075,0.019304097463795723,0.031032204245612656,5
250,-4.005304071646928,-4.005304071646928,0.038780305459400616,-4.053448461280229,-3.9571596820136277,5,-2.629601794564724,-2.629601794564724,0.06753451436507651,-2.713443526463713,-2.545760062665735,5,0.014813021495313067,0.014813021495313067,0.001859138478070154,0.012504966254124304,0.01712107673650183,5,0.025060427033214178,0.025060427033214178,0.004707499480269466,0.019216231468176054,0.0309046225982523,5
255,-4.036379084739686,-4.036379084739686,0.018343524903381106,-4.059151927803573,-4.013606241675799,5,-2.609646213507652,-2.609646213507652,0.07386002630387739,-2.701340846713222,-2.5179515803020824,5,0.014673178351732003,0.014673178351732003,0.0020315444862901966,0.0121510870957017,0.017195269607762305,5,0.024882346219172985,0.024882346219172985,0.004518001311714312,0.01927340598680024,0.03049128645154573,5
260,-4.0514337138772,-4.0514337138772,0.03178261755604462,-4.0908907193096695,-4.011976708444731,5,-2.6151377748847007,-2.6151377748847007,0.07709259520542631,-2.710845529051259,-2.519430020718142,5,0.014746582787711283,0.014746582787711283,0.002098608776116865,0.012141233567060872,0.017351932008361694,5,0.025038014685624704,0.025038014685624704,0.004788924774935566,0.01909273247193924,0.03098329689931017,5
265,-4.0866167552065855,-4.0866167552065855,0.03542639823247618,-4.130597386601931,-4.04263612381124,5,-2.589238440406323,-2.589238440406323,0.08996206858755554,-2.700923194587316,-2.47755368622533,5,0.01471821366811966,0.01471821366811966,0.002147828620187944,0.012051759736648208,0.017384667599591112,5,0.02468211168528668,0.02468211168528668,0.004268688304879265,0.019382684810261834,0.02998153856031153,5
270,-4.089227656998635,-4.089227656998635,0.06248158045255183,-4.16679634859549,-4.0116589654017805,5,-2.5947838458538053,-2.5947838458538053,0.058220516838588234,-2.6670625763620937,-2.522505115345517,5,0.014745459246491593,0.014745459246491593,0.002100164292235651,0.012138178907114383,0.017352739585868804,5,0.02525845604112692,0.02525845604112692,0.005204468413709242,0.01879729096840354,0.0317196211138503,5
275,-4.104261363319158,-4.104261363319158,0.08105751327568067,-4.204891424264303,-4.003631302374013,5,-2.598945078277588,-2.598945078277588,0.052774143237956254,-2.6644623269045162,-2.53342782965066,5,0.014624977381648085,0.014624977381648085,0.0018461077169919272,0.012333099373493894,0.016916855389802275,5,0.02510705013460245,0.02510705013460245,0.004811263647751534,0.019134034993492092,0.031080065275712807,5
280,-4.164215029189586,-4.164215029189586,0.05356198245071353,-4.230710352578383,-4.09771970580079,5,-2.5821256798386574,-2.5821256798386574,0.04211489271018717,-2.6344098426368747,-2.52984151704044,5,0.014582130684457396,0.014582130684457396,0.0019009855885580257,0.012222123722711272,0.01694213764620352,5,0.02566207885908327,0.02566207885908327,0.00587155748384407,0.018372746093191242,0.0329514116249753,5
285,-4.143629947474003,-4.143629947474003,0.0710103068022701,-4.231786753826336,-4.05547314112167,5,-2.5735369494318965,-2.5735369494318965,0.05867445152199209,-2.6463792239351838,-2.500694674928609,5,0.014546191657865429,0.014546191657865429,0.0017193305629301927,0.012411703041812314,0.016680680273918544,5,0.02568417576915265,0.02568417576915265,0.005867708981186716,0.01839962078438549,0.03296873075391982,5
290,-4.198444674574136,-4.198444674574136,0.03979372263400509,-4.247847186100425,-4.149042163047848,5,-2.5745058056116106,-2.5745058056116106,0.07111003483105045,-2.66278642081532,-2.486225190407901,5,0.01439143345348982,0.01439143345348982,0.0017453618430378175,0.01222462791581093,0.016558238991168713,5,0.025243230020400687,0.025243230020400687,0.005295378242896791,0.018669203581938857,0.03181725645886252,5
295,-4.222546624965668,-4.222546624965668,0.06506786439879318,-4.303326097409531,-4.141767152521805,5,-2.5487412783503536,-2.5487412783503536,0.05995121182166649,-2.623168606003885,-2.474313950696822,5,0.01435420984378063,0.01435420984378063,0.001922094297331339,0.011967997160140381,0.01674042252742088,5,0.026080270882942923,0.026080270882942923,0.006828180091588013,0.017603324687665588,0.03455721707822026,5
